,path,label
0,./images/62886.png,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
1,./images/95941.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2,./images/78503.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
3,./images/284445.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
4,./images/27977.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
5,./images/119773.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
6,./images/111158.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
7,./images/116692.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,./images/1945044.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
9,./images/80025.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,./images/384642.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
11,./images/84237.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,./images/245574.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
13,./images/71413.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
14,./images/68713.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
15,./images/113762.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
16,./images/220623.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
17,./images/263101.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
18,./images/120633.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,./images/248912.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
20,./images/283043.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
21,./images/106761.png,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
22,./images/817911.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
23,./images/5481404.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
24,./images/94969.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
25,./images/110629.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
26,./images/80761.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
27,./images/99740.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
28,./images/28284.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
29,./images/82427.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
30,./images/3847390.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
31,./images/123114.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
32,./images/256009.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
33,./images/113416.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
34,./images/76798.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
35,./images/109219.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
36,./images/804507.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
37,./images/1754000.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
38,./images/810970.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
39,./images/113756.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
40,./images/113633.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
41,./images/137386.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
42,./images/119718.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
43,./images/4221708.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
44,./images/58403.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
45,./images/100395.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
46,./images/83922.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,./images/2397471.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
48,./images/221889.png,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
49,./images/159421.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
50,./images/1541666.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
51,./images/100280.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
52,./images/421974.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
53,./images/976039.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
54,./images/1599348.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
55,./images/2155337.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
56,./images/82367.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
57,./images/1307873.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
58,./images/3243196.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
59,./images/107438.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
60,./images/438205.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
61,./images/107451.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
62,./images/84783.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
63,./images/2708794.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
64,./images/256380.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
65,./images/97236.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
66,./images/106471.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
67,./images/113774.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
68,./images/243017.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
69,./images/109415.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
70,./images/97008.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
71,./images/60661.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
72,./images/3638012.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
73,./images/1969149.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
74,./images/232083.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
75,./images/2084953.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
76,./images/2340784.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
77,./images/185511.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
78,./images/90644.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
79,./images/112818.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
80,./images/279889.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
81,./images/2718442.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
82,./images/93502.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
83,./images/65853.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
84,./images/2114058.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
85,./images/449121.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
86,./images/302640.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
87,./images/118785.png,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
