,path,label
0,./images/1054486.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
1,./images/69024.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2,./images/33373.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
3,./images/166175.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
4,./images/103893.png,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
5,./images/398165.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
6,./images/1828247.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
7,./images/91934.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,./images/81114.png,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
9,./images/1460739.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
10,./images/96754.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,./images/113730.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
12,./images/402022.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
13,./images/113269.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
14,./images/1286821.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
15,./images/105618.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
16,./images/1696202.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
17,./images/1484954.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
18,./images/112445.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,./images/105267.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
20,./images/4006044.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
21,./images/2664880.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
22,./images/102469.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
23,./images/2175927.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
24,./images/1743711.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
25,./images/1438522.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
26,./images/891592.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
27,./images/160672.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,./images/424774.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
29,./images/204700.png,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
30,./images/475944.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
31,./images/2518848.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
32,./images/206179.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
33,./images/123964.png,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
34,./images/45591.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
35,./images/332605.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,./images/423034.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
37,./images/1098327.png,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
38,./images/109450.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,./images/114266.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
40,./images/261014.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
41,./images/250730.png,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
42,./images/320691.png,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
43,./images/184719.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,./images/36824.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,./images/112281.png,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
